epoch,step,train_loss,val_err,val_err_95,val_loss
0,49,0.425960510969162,,,
0,99,0.19105973839759827,,,
0,149,0.11801957339048386,,,
0,189,,38.09090805053711,94.52790832519531,0.10890969634056091
1,199,0.1137533113360405,,,
1,249,0.07747526466846466,,,
1,299,0.052205152809619904,,,
1,349,0.05156222730875015,,,
1,379,,31.110586166381836,77.33338165283203,0.04641697555780411
2,399,0.04651567339897156,,,
2,449,0.044849950820207596,,,
